# hanzi	pinyin	HSK level (HSK 3.0 standard, public list)
一	yī	1
一一	yīyī	7
一下儿	yí xiàr	1
一下子	yí xià zi	5
一不小心	yíbùxiǎoxīn	7
一个劲儿	yígèjìnr	7
一举	yìjǔ	7
一举一动	yìjǔyídòng	7
一事无成	yíshìwúchéng	7
一些	yì xiē	1
一代	yídài	6
一会儿	yíhuir	1
一体	yìtǐ	7
一共	yígòng	2
一再	yízài	4
一切	yíqiè	3
一刹那	yíchànà	7
一动不动	yídòngbúdòng	7
一半	yí bàn	1
一卡通	yìkǎtōng	7
一口气	yì kǒu qì	5
一句话	yí jù huà	5
一同	yìtóng	6
一向	yíxiàng	5
一味	yíwèi	7
一回事	yìhuíshì	7
一块儿	yí kuàir	1
一塌糊涂	yìtāhútú	7
一声不吭	yìshēngbùkēng	7
一大早	yídàzǎo	7
一天到晚	yìtiāndàowǎn	7
一头	yìtóu	7
一如既往	yìrújìwǎng	7
一定	yídìng	2
一家人	yìjiārén	7
一帆风顺	yìfānfēngshùn	7
一带	yí dài	5
一干二净	yìgān'èrjìng	7
一年到头	yìniándàotóu	7
一应俱全	yìyīngjùquán	7
一度	yídù	7
一律	yílǜ	4
一心	yìxīn	7
一心一意	yìxīnyíyì	7
一成不变	yìchéngbúbiàn	7
一手	yìshǒu	7
一技之长	yíjìzhīcháng	7
一把手	yībāshǒu	7
一揽子	yìlǎnzi	7
一方面	yì fāng miàn	3
一旁	yìpáng	7
一无所有	yìwúsuǒyǒu	7
一无所知	yìwúsuǒzhī	7
一旦	yídàn	5
一早	yìzǎo	7
一时	yìshí	6
一晃	yíhuàng	7
一样	yíyàng	1
一概	yígài	7
一概而论	yígài'érlùn	7
一模一样	yìmúyíyàng	6
一次性	yícìxìng	6
一毛不拔	yìmáobùbá	7
一流	yīliú	5
一点儿	yīdiǎnr	1
一点点	yì diǎn diǎn	2
一生	yì shēng	2
一番	yìfān	6
一目了然	yímùliǎorán	7
一直	yìzhí	2
一眼	yìyǎn	7
一瞬间	yíshùnjiān	7
一筹莫展	yìchóumòzhǎn	7
一系列	yíxìliè	7
一线	yīxiàn	7
一经	yìjīng	7
一致	yízhì	4
一般	yìbān	2
一般来说	yì bān lái shuō	4
一行	yìxíng	6
一言一行	yìyányìxíng	7
一言不发	yìyánbùfā	7
一贯	yíguàn	6
一起	yìqi	1
一路	yí lù	5
一路上	yílùshàng	6
一路平安	yí lù píng ān	2
一路顺风	yí lù shùn fēng	2
一身	yì shēn	5
一辈子	yíbèizi	5
一边	yìbiān	1
一连	yìlián	7
一连串	yìliánchuàn	7
一道	yídào	6
一部分	yí bù fèn	2
一锅粥	yìguōzhōu	7
一长一短	yìchángyìduǎn	7
一阵	yízhèn	7
一面	yímiàn	7
一鼓作气	yìgǔzuòqì	7
一齐	yìqí	6
丁	dīng	7
七	qī	1
七嘴八舌	qīzuǐbāshé	7
万	wàn	2
万一	wànyī	4
万万	wànwàn	7
万分	wànfēn	7
万古长青	wàngǔchángqīng	7
万无一失	wànwúyīshī	7
万能	wànnéng	7
丈夫	zhàngfu	4
三	sān	1
三明治	sānmíngzhì	6
三番五次	sānfānwǔcì	7
三维	sānwéi	7
三角	sānjiǎo	7
上	shàng	1
上下	shàng xià	5
上个月	shàng gè yuè	4
上任	shàngrèn	7
上升	shàng shēng	3
上午	shàngwǔ	1
上去	shàng qù	3
上台	shàngtái	6
上司	shàngsī	7
上周	shàng zhōu	2
上场	shàngchǎng	7
上头	shàngtou	7
上学	shàng xué	1
上岗	shànggǎng	7
上市	shàngshì	6
上帝	shàngdì	6
上当	shàngdàng	6
上报	shàngbào	7
上方	shàngfāng	7
上旬	shàngxún	7
上映	shàngyìng	7
上期	shàngqī	7
上来	shàng lái	3
上楼	shàng lóu	4
上次	shàng cì	1
上流	shàngliú	7
上涨	shàng zhǎng	5
上游	shàngyóu	7
上演	shàngyǎn	6
上火	shànghuǒ	7
上班	shàngbān	1
上瘾	shàngyǐn	7
上空	shàngkōng	7
上级	shàngjí	5
上网	shàngwǎng	1
上衣	shàng yī	3
上诉	shàngsù	7
上课	shàng kè	1
上调	shàngtiáo	7
上车	shàng chē	1
上边	shàng biān	1
上述	shàngshù	7
上门	shàng mén	4
上限	shàngxiàn	7
上面	shàng miàn	3
下	xià	1
下一代	xiàyídài	7
下个月	xià gè yuè	4
下乡	xiàxiāng	7
下令	xiàlìng	7
下决心	xiàjuéxīn	7
下功夫	xiàgōngfu	7
下午	xiàwǔ	1
下去	xià qù	3
下台	xiàtái	7
下周	xià zhōu	2
下场	xiàchǎng	7
下坠	xiàzhuì	7
下属	xiàshǔ	7
下山	xiàshān	7
下岗	xiàgǎng	7
下意识	xiàyìshí	7
下手	xiàshǒu	7
下旬	xiàxún	7
下期	xiàqī	7
下来	xià lái	3
下棋	xiàqí	7
下楼	xià lóu	4
下次	xià cì	1
下海	xiàhǎi	7
下游	xiàyóu	7
下班	xià bān	1
下级	xiàjí	7
下落	xiàluò	7
下课	xià kè	1
下调	xiàtiáo	7
下跌	xiàdiē	7
下车	xià chē	1
下载	xiàzài	4
下边	xià biān	1
下降	xià jiàng	4
下雨	xiàyǔ	1
下雪	xià xuě	2
下面	xià miàn	3
不	bù	1
不一会儿	bù yī huìr	2
不一定	bù yī dìng	2
不为人知	bùwéirénzhī	7
不久	bù jiǔ	2
不了了之	bùliǎoliǎozhī	7
不予	bùyǔ	7
不亚于	búyàyú	7
不亦乐乎	búyìlèhū	7
不仅	bùjǐn	3
不仅仅	bùjǐnjǐn	6
不以为然	bùyǐwéirán	7
不但	bú dàn	2
不便	búbiàn	6
不值	bùzhí	6
不假思索	bùjiǎsīsuǒ	7
不停	bù tíng	5
不像话	búxiànghuà	7
不光	bù guāng	3
不免	bùmiǎn	5
不再	búzài	6
不准	bùzhǔn	7
不利	bú lì	5
不利于	búlìyú	7
不可思议	bùkěsīyì	7
不可避免	bùkěbìmiǎn	7
不同	bù tóng	2
不同寻常	bùtóngxúncháng	7
不在乎	bú zài hū	4
不堪	bùkān	7
不够	bú gòu	2
不大	bú dà	1
不太	bú tài	2
不好意思	bù hǎo yì si	2
不如	bùrú	2
不如说	bùrúshuō	7
不妨	bùfáng	7
不安	bù'ān	3
不定	búdìng	7
不宜	bùyí	7
不客气	bú kè qì	1
不容	bùróng	7
不对	bú duì	1
不少	bù shǎo	2
不屑	búxiè	7
不已	bùyǐ	7
不平	bùpíng	7
不幸	bú xìng	5
不得不	bùdébù	3
不得了	búdéliǎo	5
不得已	bùdéyǐ	7
不得而知	bùdé'érzhī	7
不必	bú bì	3
不怎么	bùzěnme	6
不怎么样	bùzěnmeyàng	6
不惜	bùxī	7
不慎	búshèn	7
不懈	búxiè	7
不成	bùchéng	6
不敢当	bùgǎndāng	5
不料	búliào	6
不断	búduàn	3
不时	bùshí	5
不易	bú yì	5
不景气	bùjǐngqì	7
不曾	bù céng	5
不服	bùfú	7
不服气	bùfúqì	7
不止	bùzhǐ	5
不正之风	búzhèngzhīfēng	7
不满	bù mǎn	2
不然	bùrán	4
不理	bùlǐ	7
不用	bú yòng	1
不用说	búyòngshuō	7
不由得	bùyóude	7
不由自主	bùyóuzìzhǔ	7
不相上下	bùxiāngshàngxià	7
不知	bùzhī	7
不知不觉	bùzhībùjué	7
不禁	bùjīn	6
不算	búsuàn	7
不管	bùguǎn	4
不约而同	bùyuē'értóng	7
不经意	bùjīngyì	7
不翼而飞	búyì'érfēi	7
不耐烦	búnàifán	5
不耻下问	bùchǐxiàwèn	7
不肯	bùkěn	7
不能不	bù néng bù	5
不至于	búzhìyú	6
不良	bù liáng	5
不行	bù xíng	2
不要	bú yào	2
不要紧	búyàojǐn	4
不见	bújiàn	6
不见得	bújiànde	7
不解	bùjiě	7
不许	bù xǔ	5
不论	bú lùn	3
不起眼	bùqǐyǎn	7
不足	bùzú	5
不辞而别	bùcí'érbié	7
不过	búguò	2
不适	búshì	7
不通	bùtōng	6
不错	bú cuò	2
不难	bùnán	7
不顾	búgù	5
与	yǔ	6
与众不同	yǔzhòngbùtóng	7
与其	yǔqí	7
与否	yǔfǒu	7
与日俱增	yǔrìjùzēng	7
与时俱进	yǔshíjùjìn	7
与此同时	yǔcǐtóngshí	7
丑	chǒu	5
丑恶	chǒu'è	7
丑闻	chǒuwén	7
丑陋	chǒulòu	7
专业	zhuānyè	3
专利	zhuānlì	5
专家	zhuānjiā	3
专心	zhuānxīn	4
专用	zhuānyòng	6
专辑	zhuān jí	5
专门	zhuānmén	3
专题	zhuāntí	3
且	qiě	7
世代	shìdài	7
世故	shìgu	7
世界	shìjiè	3
世界杯	shì jiè bēi	3
世界级	shìjièjí	7
世纪	shìjì	3
世袭	shìxí	7
丘陵	qiūlíng	7
业	yè	7
业余	yèyú	4
业务	yèwù	5
业绩	yèjì	7
丛林	cónglín	7
东	dōng	1
东北	dōng běi	2
东南	dōng nán	2
东奔西走	dōngbēnxīzǒu	7
东张西望	dōngzhāngxīwàng	7
东方	dōng fāng	2
东西	dōngxi	1
东边	dōng biān	1
东道主	dōngdàozhǔ	7
东部	dōng bù	3
丝	sī	7
丝毫	sīháo	7
丝绸	sīchóu	7
丢	diū	5
丢人	diūrén	7
丢失	diūshī	7
丢弃	diūqì	7
丢掉	diūdiào	7
丢脸	diūliǎn	7
两	liǎng	1
两侧	liǎngcè	6
两口子	liǎngkǒuzi	7
两岸	liǎng àn	5
两手	liǎngshǒu	6
两栖	liǎngqī	7
两边	liǎng biān	4
严	yán	4
严厉	yánlì	5
严密	yánmì	7
严峻	yánjùn	7
严格	yángé	4
严禁	yánjìn	7
严肃	yánsù	5
严谨	yánjǐn	7
严重	yánzhòng	4
丧失	sàngshī	6
丧生	sàngshēng	7
个	gè	1
个人	gèrén	3
个体	gètǐ	4
个儿	gèr	5
个别	gèbié	4
个头儿	gètóur	7
个子	gèzi	2
个性	gèxìng	3
个案	gè'àn	7
丫头	yātou	7
中	zhōng	1
中介	zhōngjiè	4
中医	zhōng yī	2
中午	zhōngwǔ	1
中华	zhōnghuá	6
中华民族	zhōng huá mín zú	3
中国	zhōngguó	1
中国画	zhōngguóhuà	7
中型	zhōngxíng	7
中外	zhōngwài	6
中央	zhōngyāng	5
中奖	zhòng jiǎng	4
中学	zhōng xué	1
中学生	zhōng xué shēng	1
中小学	zhōng xiǎo xué	2
中年	zhōng nián	2
中庸	zhōngyōng	7
中心	zhōngxīn	2
中性	zhōngxìng	7
中文	zhōngwén	1
中断	zhōngduàn	5
中旬	zhōngxún	7
中期	zhōngqī	6
中止	zhōngzhǐ	7
中毒	zhòng dú	5
中秋节	zhōng qiū jié	5
中立	zhōnglì	7
中等	zhōngděng	6
中级	zhōng jí	2
中药	zhōng yào	5
中途	zhōngtú	7
中部	zhōng bù	3
中间	zhōngjiān	1
中餐	zhōng cān	2
丰厚	fēnghòu	7
丰富	fēngfù	3
丰富多彩	fēngfùduōcǎi	7
丰收	fēngshōu	5
丰满	fēngmǎn	7
丰盛	fēngshèng	7
丰硕	fēngshuò	7
串	chuàn	6
串门	chuànmén	7
临	lín	7
临床	línchuáng	7
临时	línshí	4
临街	línjiē	7
临近	línjìn	7
丸	wán	7
为	wèi	2
为主	wéi zhǔ	5
为了	wèile	3
为人	wéirén	7
为什么	wèishénme	2
为何	wèihé	6
为期	wéiqī	5
为止	wéi zhǐ	5
为此	wèicǐ	6
为难	wéinán	5
主	zhǔ	7
主义	zhǔyì	7
主人	zhǔrén	2
主人翁	zhǔrénwēng	7
主任	zhǔrèn	3
主体	zhǔ tǐ	5
主力	zhǔlì	7
主办	zhǔbàn	5
主动	zhǔdòng	3
主妇	zhǔfù	7
主宰	zhǔzǎi	7
主导	zhǔdǎo	5
主席	zhǔxí	4
主张	zhǔzhāng	3
主意	zhǔyi	3
主持	zhǔchí	3
主持人	zhǔchírén	6
主权	zhǔquán	7
主流	zhǔliú	6
主演	zhǔyǎn	7
主管	zhǔguǎn	5
主编	zhǔbiān	7
主要	zhǔyào	2
主观	zhǔguān	5
主角	zhǔjué	6
主页	zhǔyè	7
主题	zhǔtí	4
主题歌	zhǔtígē	7
主食	zhǔshí	7
举	jǔ	2
举一反三	jǔyīfǎnsān	7
举世无双	jǔshìwúshuāng	7
举世瞩目	jǔshìzhǔmù	7
举世闻名	jǔshìwénmíng	7
举例	jǔlì	7
举办	jǔbàn	3
举动	jǔdòng	5
举手	jǔ shǒu	2
举报	jǔbào	7
举措	jǔcuò	7
举止	jǔzhǐ	7
举行	jǔxíng	2
举重	jǔzhòng	7
乃	nǎi	7
乃至	nǎizhì	7
久	jiǔ	3
久仰	jiǔyǎng	7
久违	jiǔwéi	7
义务	yìwù	4
义工	yìgōng	7
之	zhī	7
之一	zhī yī	4
之下	zhī xià	5
之中	zhī zhōng	5
之内	zhī nèi	5
之前	zhī qián	4
之后	zhī hòu	4
之外	zhī wài	5
之所以	zhīsuǒyǐ	7
之类	zhīlèi	6
之间	zhī jiān	4
乌云	wūyún	6
乐	lè	3
乐器	yuèqì	7
乐园	lèyuán	7
乐意	lèyì	7
乐曲	yuèqǔ	6
乐观	lèguān	3
乐趣	lèqù	4
乐队	yuè duì	3
乒乓球	pīngpāngqiú	7
乔装	qiáozhuāng	7
乖	guāi	7
乖巧	guāiqiǎo	7
乘	chéng	5
乘人之危	chéngrénzhīwēi	7
乘坐	chéngzuò	5
乘客	chéng kè	5
乘车	chéng chē	5
乙	yǐ	5
九	jiǔ	1
乞丐	qǐgài	7
乞求	qǐqiú	7
乞讨	qǐtǎo	7
也	yě	1
也好	yě hǎo	5
也就是说	yějiùshìshuō	7
也许	yěxǔ	2
习俗	xísú	7
习惯	xíguàn	2
乡	xiāng	5
乡下	xiāngxia	7
乡亲	xiāngqīn	7
乡村	xiāng cūn	5
书	shū	1
书写	shūxiě	7
书包	shū bāo	1
书店	shū diàn	1
书房	shūfáng	6
书架	shūjià	3
书柜	shū guì	5
书桌	shū zhuō	5
书橱	shūchú	7
书法	shūfǎ	5
书籍	shūjí	7
书记	shūji	7
书面	shūmiàn	7
买	mǎi	1
买不起	mǎibuqǐ	7
买卖	mǎi mài	5
乱	luàn	3
乱七八糟	luànqībāzāo	7
乳制品	rǔzhìpǐn	6
了	le	1
了不起	liǎobuqǐ	4
了却	liǎoquè	7
了结	liǎojié	7
了解	liǎojiě	4
予以	yǔyǐ	7
争	zhēng	3
争先恐后	zhēngxiānkǒnghòu	7
争光	zhēngguāng	7
争分夺秒	zhēngfēnduómiǎo	7
争取	zhēngqǔ	3
